순위,아티스트,곡명,앨범
1,아로하,조정석,슬기로운 의사생활 OST Part 3
2,살짝 설렜어 (Nonstop),오마이걸,NONSTOP
3,ON,방탄소년단,MAP OF THE SOUL : 7
4,덤더럼(Dumhdurum),Apink (에이핑크),LOOK
5,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
6,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
7,Ridin’,NCT DREAM,Reload
8,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
10,우리 만남이,폴킴,"정규 2집 '마음, 둘'"
11,아무노래,지코 (ZICO),아무노래
12,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7
13,Black Swan,방탄소년단,MAP OF THE SOUL : 7
14,내게 말해줘 (7 Days),NCT DREAM,Reload
15,친구,방탄소년단,MAP OF THE SOUL : 7
16,사랑은 또다시 (Love Again),NCT DREAM,Reload
17,Quiet Down,NCT DREAM,Reload
18,너의 자리 (Puzzle Piece),NCT DREAM,Reload
19,Filter,방탄소년단,MAP OF THE SOUL : 7
20,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3
21,그때 그 아인,김필,이태원 클라쓰 OST Part.6
22,시차,방탄소년단,MAP OF THE SOUL : 7
23,Moon,방탄소년단,MAP OF THE SOUL : 7
24,Stay Tonight,청하,Stay Tonight
25,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2
26,METEOR,창모 (CHANGMO),Boyhood
27,Inner Child,방탄소년단,MAP OF THE SOUL : 7
28,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7
29,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7
30,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7
31,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7
32,WANNABE,ITZY (있지),IT'z ME
33,Blueming,아이유,Love poem
34,Respect,방탄소년단,MAP OF THE SOUL : 7
35,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7
36,Dance Monkey,Tones And I,The Kids Are Coming
37,마음을 드려요,아이유,사랑의 불시착 OST Part 11
38,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
39,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
40,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ
41,2002,Anne-Marie,Speak Your Mind (Deluxe)
42,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
43,Don't Start Now,Dua Lipa,Future Nostalgia
44,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1
45,반만,진민호,반만
46,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
47,"사랑, 하자",수호 (SUHO),자화상 - The 1st Mini Album
48,HIP,마마무 (Mamamoo),reality in BLACK
49,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
50,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
51,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트
52,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
54,Oh my god,(여자)아이들,I trust
55,LALALILALA,에이프릴 (APRIL),에이프릴(APRIL) 7th Mini Album 'Da Capo'
56,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5
57,안녕,폴킴,호텔 델루나 OST Part.10
58,Maniac,Conan Gray,Maniac
59,To Die For,Sam Smith,To Die For
60,바램,임영웅,내일은 미스터트롯 예선곡 베스트
61,찐이야,영탁,내일은 미스터트롯 결승전 베스트
62,"다시 난, 여기",백예린,사랑의 불시착 OST Part 4
63,Birthday,Anne-Marie,Birthday
64,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
65,Love poem,아이유,Love poem
66,나쁜 놈,벤,Off The Record
67,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
68,Obsession,EXO,OBSESSION - The 6th Album
69,봄날,방탄소년단,YOU NEVER WALK ALONE
70,Square (2017),백예린,Every letter I sent you.
71,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4
72,조금 취했어 (Prod. 2soo),임재현,조금 취했어
73,넌 내가 보고 싶지 않나 봐,신예영,넌 내가 보고 싶지 않나 봐
74,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
75,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2
76,너를 만나,폴킴,너를 만나
77,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽 (MAKTUB),Red Moon : SUPERNOVA
78,보라빛 엽서,임영웅,내일은 미스터트롯 레전드 미션 베스트
79,Memories,Maroon 5,Memories
80,Painkiller,Ruel,Painkiller
81,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯
82,Lonely Night,권진아,슬기로운 의사생활 OST Part 1
83,이해,양다일,이해
84,뜸,WINNER,Remember
85,Go away go away,찬열 (CHANYEOL),낭만닥터 김사부 2 OST Part.3
86,영웅 (英雄; Kick It),NCT 127,NCT #127 Neo Zone - The 2nd Album
87,주저하는 연인들을 위해,잔나비,전설
88,Sweet Night,V,이태원 클라쓰 OST Part.12
89,Made In You,수호 (SUHO),자화상 - The 1st Mini Album
90,자화상,수호 (SUHO),자화상 - The 1st Mini Album
91,너의 차례 (Feat. 윤하),수호 (SUHO),자화상 - The 1st Mini Album
92,나보다 더 사랑해요,김호중,나보다 더 사랑해요
93,뱉어 (Spit it out),솔라 (마마무),SPIT IT OUT
94,버릇처럼 셋을 센다,KCM,버릇처럼 셋을 센다
95,다시 만날까 봐,V.O.S,다시 만날까 봐
96,O₂,수호 (SUHO),자화상 - The 1st Mini Album
97,Dolphin,오마이걸,NONSTOP
98,암막 커튼,수호 (SUHO),자화상 - The 1st Mini Album
99,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness
100,"아무렇지 않게, 안녕",HYNN (박혜원),"아무렇지 않게, 안녕"
